"JURISDICTION.NAME","COUNT.PARTICIPANTS","COUNT.FEMALE","COUNT.MALE","COUNT.GENDER.UNKNOWN","COUNT.GENDER.TOTAL","COUNT.PACIFIC.ISLANDER","COUNT.HISPANIC.LATINO","COUNT.AMERICAN.INDIAN","COUNT.ASIAN.NON.HISPANIC","COUNT.WHITE.NON.HISPANIC","COUNT.BLACK.NON.HISPANIC","COUNT.OTHER.ETHNICITY","COUNT.ETHNICITY.UNKNOWN","COUNT.ETHNICITY.TOTAL","COUNT.PERMANENT.RESIDENT.ALIEN","COUNT.US.CITIZEN","COUNT.OTHER.CITIZEN.STATUS","COUNT.CITIZEN.STATUS.UNKNOWN","COUNT.CITIZEN.STATUS.TOTAL","COUNT.RECEIVES.PUBLIC.ASSISTANCE","COUNT.NRECEIVES.PUBLIC.ASSISTANCE","COUNT.PUBLIC.ASSISTANCE.UNKNOWN","COUNT.PUBLIC.ASSISTANCE.TOTAL"
10310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10451,41,21,20,0,41,0,22,0,1,0,15,2,1,41,3,38,0,0,41,12,29,0,41
10452,17,12,5,0,17,0,10,0,0,0,5,1,1,17,0,17,0,0,17,3,14,0,17
10453,14,7,7,0,14,0,6,0,0,0,8,0,0,14,2,12,0,0,14,8,6,0,14
10454,18,8,10,0,18,0,7,0,1,0,10,0,0,18,1,17,0,0,18,8,10,0,18
10455,27,17,10,0,27,0,5,0,0,0,20,2,0,27,1,25,1,0,27,7,20,0,27
10456,5,3,2,0,5,0,3,1,0,0,0,1,0,5,0,5,0,0,5,1,4,0,5
10457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10458,52,25,27,0,52,0,24,0,0,1,23,3,1,52,3,48,1,0,52,19,33,0,52
10459,7,5,2,0,7,0,3,0,0,0,4,0,0,7,2,5,0,0,7,3,4,0,7
10460,27,20,7,0,27,0,9,0,0,1,15,2,0,27,2,25,0,0,27,14,13,0,27
10461,49,26,23,0,49,1,21,1,1,1,18,5,1,49,1,48,0,0,49,21,28,0,49
10462,3,2,1,0,3,0,1,0,0,0,2,0,0,3,0,2,1,0,3,3,0,0,3
10463,59,33,26,0,59,0,36,0,0,2,18,3,0,59,3,54,2,0,59,20,39,0,59
10464,15,7,8,0,15,0,7,0,1,0,7,0,0,15,0,15,0,0,15,7,8,0,15
10465,21,17,4,0,21,0,14,0,1,4,2,0,0,21,1,20,0,0,21,5,16,0,21
10466,65,39,26,0,65,1,14,0,0,0,50,0,0,65,3,62,0,0,65,17,48,0,65
10467,106,65,41,0,106,0,51,1,4,1,47,2,0,106,10,94,2,0,106,33,73,0,106
10468,81,46,35,0,81,0,35,0,3,0,36,7,0,81,2,79,0,0,81,23,58,0,81
10469,10,7,3,0,10,0,4,0,0,1,5,0,0,10,2,8,0,0,10,4,6,0,10
10471,43,24,19,0,43,0,27,0,1,2,12,1,0,43,2,41,0,0,43,17,26,0,43
10472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10475,20,12,8,0,20,0,7,0,0,1,12,0,0,20,2,18,0,0,20,8,12,0,20
10514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
